Name_of_Building/Facility,Address_of_Building/Facility,建築物/設施名稱,建築物/設施名稱,CountryPark,郊野公園,Source_of_water,水源,TentSpace,營位數目,Opening Hours,開放時間,Website,網頁,Latitude,Longitude
Yuen Ng Fan Camp Site,Yuen Ng Fan,元五墳營地,元五墳,SAI KUNG EAST COUNTRY PARK,西貢東郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_16_YuenNgFan.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_16_YuenNgFan.html,22.37811,114.33194
Pak Lap Camp Site,Pak Lap,白腊營地,白腊,SAI KUNG EAST COUNTRY PARK,西貢東郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_15_PakLap.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_15_PakLap.html,22.35924,114.36504
Po Kwu Wan Camp Site,Po Kwu Wan,曝罟灣營地,曝罟灣,SAI KUNG EAST COUNTRY PARK,西貢東郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_17_PoKwuWan.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_17_PoKwuWan.html,22.3822,114.32692
Wan Tsai West Camp Site,Wan Tsai West,灣仔西營地,灣仔西,SAI KUNG WEST COUNTRY PARK (WAN TSAI EXTENSION),西貢西郊野公園(灣仔擴建部分),TAP,水喉,More than 50,More than 50,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_07_WaiTsaiW.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_07_WaiTsaiW.html,22.46508,114.3381
Tai Tan Camp Site,Tai Tan,大灘營地,大灘,SAI KUNG WEST COUNTRY PARK,西貢西郊野公園,TAP,水喉,Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_10_TaiTan.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_10_TaiTan.html,22.43669,114.33373
Yee Ting Camp Site,Pak Tam Road,怡庭營地,北潭路,SAI KUNG WEST COUNTRY PARK,西貢西郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_18_YeeTing.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_18_YeeTing.html,22.40626,114.32522
Shui Long Wo Camp Site,Shui Long Wo,水浪窩營地,水浪窩,MA ON SHAN COUNTRY PARK,馬鞍山郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_19_ShuiLongWo.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_19_ShuiLongWo.html,22.40274,114.27519
Tung Ping Chau Camp Site,Tung Ping Chau,東平洲營地,東平洲,PLOVER COVE (EXTENSION) COUNTRY PARK,船灣(擴建部分)郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_05_TungPingChau.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_05_TungPingChau.html,22.54069,114.44109
Lead Mine Pass Camp Site,Lead Mine Pass,鉛礦坳營地,鉛礦坳,SHING MUN COUNTRY PARK,城門郊野公園,TAP,水喉,Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_22_LeadMinePass.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_22_LeadMinePass.html,22.41132,114.15779
Rotary Club Park Camp Site,Tsuen Kam Au,扶輪公園營地,荃錦坳,TAI MO SHAN COUNTRY PARK,大帽山郊野公園,TAP,水喉,Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_23_Rotary.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_23_Rotary.html,22.40507,114.10509
Twisk Camp Site,Twisk,荃錦營地,荃錦,TAI LAM COUNTRY PARK,大欖郊野公園,TAP,水喉,20-50,20-50,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_24_Twisk.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_24_Twisk.html,22.40681,114.10323
Ho Pui Camp Site,Ho Pui,河背營地,河背,TAI LAM COUNTRY PARK,大欖郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),Less than 20,Less than 20,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_25_HoPui.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_25_HoPui.html,22.40996,114.0717
Tin Fu Tsai Camp Site,Tin Fu Tsai,田夫仔營地,田夫仔,TAI LAM COUNTRY PARK,大欖郊野公園,STREAM WATER (SEASONAL SUPPLY),溪澗(季節性水源),20-50,20-50,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_26_TinFuTsai.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_26_TinFuTsai.html,22.39009,114.06604
Nam Shan Camp Site,Nam Shan,南山營地,南山,LANTAU SOUTH COUNTRY PARK,南大嶼郊野公園,TAP,水喉,More than 50,More than 50,N.A.,N.A.,http://www.afcd.gov.hk/english/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_27_NamShan.html,http://www.afcd.gov.hk/tc_chi/country/cou_vis/cou_vis_cam/cou_vis_cam_cam/cou_vis_cam_27_NamShan.html,22.25328,113.9862
